word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,cosine_distance_camembert,cosine_similarity_camembert,cosine_distance_dalembert,cosine_similarity_dalembert
ras,1700-1710,1789-1802,0.923666,0.076334,321,1963,5675,0.013594,0.986406,0.039664,0.960336
conséquence,1770-1780,1780-1789,0.92273,0.07727,5192,5403,5712,0.014628,0.985372,0.018047,0.981953
xvi,1710-1720,1789-1802,0.921405,0.078595,526,6368,5712,0.09028,0.90972,0.082644,0.917356
général,1710-1720,1750-1760,0.920679,0.079321,3127,12301,5718,0.024064,0.975936,0.027236,0.972764
aul,1710-1720,1730-1740,0.916434,0.083566,353,143,5657,0.016336,0.983664,0.070881,0.929119
lent,1740-1750,1780-1789,0.912615,0.087385,863,1868,5707,0.011322,0.988678,0.010982,0.989018
dubois,1700-1710,1720-1730,0.912286,0.087714,59,794,5657,0.065262,0.934738,0.069823,0.930177
sen,1710-1720,1789-1802,0.911056,0.088944,379,1506,5693,0.014333,0.985667,0.023092,0.976908
présent,1740-1750,1789-1802,0.910961,0.089039,6404,12793,5716,0.014707,0.985293,0.022524,0.977476
bizarre,1720-1730,1740-1750,0.909627,0.090373,185,1191,5688,0.041577,0.958423,0.063515,0.936485
présens,1750-1760,1789-1802,0.909225,0.090775,728,1187,5678,0.012383,0.987617,0.013047,0.986953
secondes,1740-1750,1789-1802,0.907337,0.092663,412,769,5678,0.011127,0.988873,0.026727,0.973273
lig,1710-1720,1730-1740,0.906709,0.093291,276,264,5575,0.0124,0.9876,0.041251,0.958749
ali,1700-1710,1780-1789,0.906623,0.093377,583,1176,5682,0.025326,0.974674,0.053459,0.946541
perdant,1720-1730,1750-1760,0.906531,0.093469,123,283,5684,0.012719,0.987281,0.022622,0.977378
veaux,1740-1750,1750-1760,0.905998,0.094002,460,348,5666,0.035573,0.964427,0.046055,0.953945
phi,1710-1720,1789-1802,0.90574,0.09426,380,725,5683,0.016026,0.983974,0.050638,0.949362
présente,1710-1720,1740-1750,0.902058,0.097942,811,2067,5713,0.011035,0.988965,0.014463,0.985537
pen,1700-1710,1760-1770,0.901851,0.098149,893,1712,5699,0.007817,0.992183,0.026229,0.973771
fins,1710-1720,1730-1740,0.901215,0.098785,1048,1277,5708,0.020364,0.979636,0.024084,0.975916
ressort,1770-1780,1789-1802,0.901203,0.098797,2742,2009,5707,0.009361,0.990639,0.013992,0.986008
rem,1700-1710,1789-1802,0.90103,0.09897,923,1582,5697,0.023257,0.976743,0.08138,0.91862
prochain,1750-1760,1760-1770,0.900931,0.099069,1295,2076,5702,0.014612,0.985388,0.031918,0.968082
motte,1710-1720,1740-1750,0.900558,0.099442,808,241,5665,0.024396,0.975604,0.064402,0.935598
commune,1780-1789,1789-1802,0.900524,0.099476,5825,11455,5717,0.035308,0.964692,0.035942,0.964058
moindres,1730-1740,1780-1789,0.900169,0.099831,686,1566,5707,0.012813,0.987187,0.02118,0.97882
privation,1770-1780,1780-1789,0.899607,0.100393,643,850,5678,0.00853,0.99147,0.01492,0.98508
nouvel,1710-1720,1750-1760,0.89881,0.10119,600,1694,5709,0.01078,0.98922,0.018126,0.981874
étant,1700-1710,1710-1720,0.8979,0.1021,6601,6439,5718,0.010081,0.989919,0.022246,0.977754
cal,1710-1720,1770-1780,0.897616,0.102384,262,873,5685,0.008025,0.991975,0.053559,0.946441
entiers,1740-1750,1780-1789,0.896286,0.103714,703,1224,5700,0.017818,0.982182,0.018976,0.981024
lier,1730-1740,1789-1802,0.895714,0.104286,851,2141,5706,0.00482,0.99518,0.011275,0.988725
fond,1730-1740,1750-1760,0.895615,0.104385,5107,6096,5716,0.015598,0.984402,0.018029,0.981971
gilles,1710-1720,1780-1789,0.895125,0.104875,1073,249,5634,0.014823,0.985177,0.03182,0.96818
royauté,1740-1750,1750-1760,0.894858,0.105142,210,840,5681,0.045919,0.954081,0.051909,0.948091
énorme,1770-1780,1789-1802,0.894601,0.105399,1293,1772,5703,0.007903,0.992097,0.01523,0.98477
